task,seed,architecture,layer,target_name,num_classes,train_accuracy,val_accuracy
dyck_2,43,lstm,embedding,max_depth,7,0.5643,0.541016
dyck_2,43,lstm,layer_1,max_depth,7,0.9747,0.972656
dyck_2,43,lstm,layer_2,max_depth,7,0.931,0.925781
dyck_2,43,gru,embedding,max_depth,7,0.5643,0.541016
dyck_2,43,gru,layer_1,max_depth,7,0.9841,0.980469
dyck_2,43,gru,layer_2,max_depth,7,0.91,0.90625
induction,42,transformer,embedding,target_value,4,0.5151,0.470703
induction,42,transformer,layer_1,target_value,4,0.5365,0.542969
induction,42,transformer,layer_2,target_value,4,0.5201,0.525391
induction,42,lstm,embedding,target_value,4,0.5151,0.470703
induction,42,lstm,layer_1,target_value,4,0.5798,0.582031
induction,42,lstm,layer_2,target_value,4,0.5585,0.544922
induction,42,gru,embedding,target_value,4,0.5151,0.470703
induction,42,gru,layer_1,target_value,4,0.6291,0.621094
induction,42,gru,layer_2,target_value,4,0.5867,0.568359
induction,43,transformer,embedding,target_value,4,0.5151,0.470703
induction,43,transformer,layer_1,target_value,4,0.5535,0.554688
induction,43,transformer,layer_2,target_value,4,0.5413,0.554688
induction,43,lstm,embedding,target_value,4,0.5151,0.470703
induction,43,lstm,layer_1,target_value,4,0.5655,0.568359
induction,43,lstm,layer_2,target_value,4,0.5438,0.511719
induction,43,gru,embedding,target_value,4,0.5158,0.472656
induction,43,gru,layer_1,target_value,4,0.5569,0.525391
induction,43,gru,layer_2,target_value,4,0.5199,0.527344
associative_recall,42,transformer,embedding,target_value,4,0.3475,0.349609
associative_recall,42,transformer,layer_1,target_value,4,0.3607,0.294922
associative_recall,42,transformer,layer_2,target_value,4,0.3597,0.324219
associative_recall,42,lstm,embedding,target_value,4,0.3475,0.349609
associative_recall,42,lstm,layer_1,target_value,4,0.3873,0.324219
associative_recall,42,lstm,layer_2,target_value,4,0.3727,0.304688
associative_recall,42,gru,embedding,target_value,4,0.3475,0.349609
associative_recall,42,gru,layer_1,target_value,4,0.6907,0.640625
associative_recall,42,gru,layer_2,target_value,4,0.7063,0.697266
associative_recall,43,transformer,embedding,target_value,4,0.3475,0.349609
associative_recall,43,transformer,layer_1,target_value,4,0.3652,0.316406
associative_recall,43,transformer,layer_2,target_value,4,0.3527,0.310547
associative_recall,43,lstm,embedding,target_value,4,0.3475,0.349609
associative_recall,43,lstm,layer_1,target_value,4,0.3905,0.310547
associative_recall,43,lstm,layer_2,target_value,4,0.3695,0.292969
associative_recall,43,gru,embedding,target_value,4,0.3475,0.349609
associative_recall,43,gru,layer_1,target_value,4,0.4813,0.46875
associative_recall,43,gru,layer_2,target_value,4,0.436,0.394531
