task,seed,architecture,train_loss,val_loss,val_accuracy
induction,44,gru,0.694944,0.700408,0.556641
induction,45,transformer,1.390682,1.391453,0.257812
induction,45,lstm,0.698193,0.730536,0.501953
induction,45,gru,0.698538,0.710934,0.566406
induction,46,transformer,1.39268,1.397685,0.248047
induction,46,lstm,0.6974,0.73143,0.517578
induction,46,gru,0.535526,0.490978,0.746094
induction,47,transformer,1.390677,1.387605,0.257812
induction,47,lstm,0.704569,0.708006,0.517578
induction,47,gru,0.649849,0.640203,0.603516
induction,48,transformer,1.39176,1.393836,0.248047
induction,48,lstm,0.707719,0.700835,0.550781
induction,48,gru,0.710009,0.694852,0.564453
induction,49,transformer,1.391962,1.386053,0.248047
induction,49,lstm,0.695227,0.694885,0.544922
induction,49,gru,0.693578,0.680514,0.552734
associative_recall,42,transformer,1.393135,1.419772,0.201172
associative_recall,42,lstm,1.130534,1.146486,0.341797
associative_recall,42,gru,1.161435,1.14564,0.335938
associative_recall,43,transformer,1.390439,1.385058,0.261719
associative_recall,43,lstm,1.111368,1.116097,0.345703
associative_recall,43,gru,1.139324,1.139663,0.341797
associative_recall,44,transformer,1.390458,1.386489,0.248047
associative_recall,44,lstm,1.136876,1.146845,0.347656
associative_recall,44,gru,1.148592,1.147414,0.351562
associative_recall,45,transformer,1.390252,1.391285,0.261719
associative_recall,45,lstm,1.132509,1.169468,0.333984
associative_recall,45,gru,1.38587,1.384443,0.261719
associative_recall,46,transformer,1.39143,1.385212,0.261719
associative_recall,46,lstm,1.130363,1.116688,0.392578
associative_recall,46,gru,1.190246,1.172766,0.375
associative_recall,47,transformer,1.390091,1.387785,0.261719
associative_recall,47,lstm,1.114949,1.127321,0.353516
associative_recall,47,gru,1.116872,1.131309,0.333984
associative_recall,48,transformer,1.392389,1.408725,0.201172
associative_recall,48,lstm,1.119894,1.166563,0.347656
associative_recall,48,gru,1.146025,1.180115,0.294922
associative_recall,49,transformer,1.389907,1.388329,0.201172
associative_recall,49,lstm,1.113732,1.117062,0.349609
associative_recall,49,gru,1.119437,1.13704,0.332031
